,mouse,day,session,filepath
152,2,37,openfield,Teris/FragileX/data/openfield/M2_D37_2021-03-02_16-29-43
153,2,37,VR,Teris/FragileX/data/VR/M2_D37_2021-03-02_15-43-04
154,2,38,openfield,Teris/FragileX/data/openfield/M2_D38_2021-03-03_16-23-24
155,2,38,VR,Teris/FragileX/data/VR/M2_D38_2021-03-03_15-43-14
156,2,39,openfield,Teris/FragileX/data/openfield/M2_D39_2021-03-04_16-48-41
157,2,39,VR,Teris/FragileX/data/VR/M2_D39_2021-03-04_16-10-14
158,2,40,openfield,Teris/FragileX/data/openfield/M2_D40_2021-03-05_16-13-16
159,2,40,VR,Teris/FragileX/data/VR/M2_D40_2021-03-05_15-32-48
160,3,1,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D1_2021-08-09_11-36-00
161,3,1,VR,Teris/FragileX/cohort_202108/data/VR/M3_D1_2021-08-09_10-47-17
162,3,2,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D2_2021-08-10_11-15-56
163,3,2,VR,Teris/FragileX/cohort_202108/data/VR/M3_D2_2021-08-10_10-37-26
164,3,3,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D3_2021-08-11_12-26-38
165,3,3,VR,Teris/FragileX/cohort_202108/data/VR/M3_D3_2021-08-11_11-34-27
166,3,4,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D4_2021-08-12_11-56-44
167,3,4,VR,Teris/FragileX/cohort_202108/data/VR/M3_D4_2021-08-12_11-14-15
168,3,5,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D5_2021-08-16_11-16-36
169,3,5,VR,Teris/FragileX/cohort_202108/data/VR/M3_D5_2021-08-16_10-36-02
170,3,6,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D6_2021-08-17_11-25-52
171,3,6,VR,Teris/FragileX/cohort_202108/data/VR/M3_D6_2021-08-17_10-42-54
172,3,7,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D7_2021-08-18_11-33-55
173,3,7,VR,Teris/FragileX/cohort_202108/data/VR/M3_D7_2021-08-18_10-53-37
174,3,8,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D8_2021-08-19_11-20-57
175,3,8,VR,Teris/FragileX/cohort_202108/data/VR/M3_D8_2021-08-19_10-42-11
176,3,9,openfield,Teris/FragileX/cohort_202108/data/openfield/M3_D9_2021-08-20_11-40-08
177,3,9,VR,Teris/FragileX/cohort_202108/data/VR/M3_D9_2021-08-20_10-58-37
