,mouse,date,session,filepath
307,1544,2023-04-26,of2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-26_11-09-06_of2
308,1544,2023-04-26,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-04-26_11-40-20_opto
309,1544,2023-04-26,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-26_12-03-51_opto2
310,1544,2023-04-28,of,Bri/optetrode_recordings/chR2/1544/1544_2023-04-28_10-58-19_of
311,1544,2023-04-28,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-04-28_11-29-30_obj
312,1544,2023-04-28,of2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-28_12-00-32_of2
313,1544,2023-04-28,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-04-28_12-30-49_opto
314,1544,2023-04-28,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-04-28_13-02-16_opto2
315,1544,2023-05-01,of,Bri/optetrode_recordings/chR2/1544/1544_2023-05-01_10-22-25_of
316,1544,2023-05-01,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-05-01_11-03-42_obj
317,1544,2023-05-01,obj2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-01_11-34-54_obj2
318,1544,2023-05-01,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-05-01_12-12-57_opto
319,1544,2023-05-01,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-01_12-34-44_opto2
320,1544,2023-05-03,of,Bri/optetrode_recordings/chR2/1544/1544_2023-05-03_10-17-01_of
321,1544,2023-05-03,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-05-03_10-47-34_obj
322,1544,2023-05-03,of2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-03_11-29-27_of2
323,1544,2023-05-03,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-05-03_12-08-11_opto
324,1544,2023-05-03,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-03_12-34-50_opto2
325,1544,2023-05-05,of,Bri/optetrode_recordings/chR2/1544/1544_2023-05-05_09-55-46_of
326,1544,2023-05-05,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-05-05_10-26-56_obj
327,1544,2023-05-05,of2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-05_10-56-20_of2
328,1544,2023-05-05,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-05-05_11-30-05_opto
329,1544,2023-05-05,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-05_11-55-35_opto2
330,1544,2023-05-08,of,Bri/optetrode_recordings/chR2/1544/1544_2023-05-08_10-03-46_of
331,1544,2023-05-08,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-05-08_10-29-23_obj
332,1544,2023-05-08,obj2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-08_11-03-51_obj2
333,1544,2023-05-08,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-05-08_11-36-31_opto
334,1544,2023-05-08,opto2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-08_11-59-02_opto2
335,1544,2023-05-10,of,Bri/optetrode_recordings/chR2/1544/1544_2023-05-10_10-16-19_of
336,1544,2023-05-10,obj,Bri/optetrode_recordings/chR2/1544/1544_2023-05-10_10-55-34_obj
337,1544,2023-05-10,of2,Bri/optetrode_recordings/chR2/1544/1544_2023-05-10_11-34-49_of2
338,1544,2023-05-10,opto,Bri/optetrode_recordings/chR2/1544/1544_2023-05-10_12-10-13_opto
